Designator,Mid X,Mid Y,Rotation,Layer
C16                 ,    26.4190mm,     1.0600mm,        0,B
C17                 ,    27.4819mm,    -5.4366mm,      180,B
C37                 ,     4.6821mm,   -23.1935mm,       90,B
D10                 ,    25.0185mm,   -23.3740mm,        0,B
D4                  ,    13.8074mm,   -24.5213mm,      180,B
D5                  ,     9.3245mm,   -24.5366mm,        0,B
D9                  ,    30.8357mm,   -23.2977mm,      180,B
R47                 ,     4.5251mm,   -20.7218mm,       90,T
R48                 ,     2.4275mm,   -20.8643mm,        0,T
C38                 ,     5.9594mm,   -23.2061mm,       90,B
C12                 ,    22.6321mm,     2.3682mm,      180,B
C2                  ,    16.0000mm,   -18.5000mm,      270,B
C41                 ,    26.6563mm,   -12.2717mm,        0,B
U5                  ,    30.4473mm,   -11.8075mm,       90,B
R27                 ,    41.3258mm,   -31.6484mm,       90,B
Q1                  ,    12.5227mm,   -15.8474mm,        0,B
Q3                  ,     2.1167mm,   -19.5228mm,      270,B
R46                 ,    41.5627mm,   -27.4388mm,       90,B
R32                 ,     5.0147mm,    -7.3706mm,        0,T
R42                 ,    40.3601mm,   -27.4388mm,       90,B
R5                  ,    39.2222mm,   -27.4388mm,       90,B
C3                  ,    36.1424mm,   -21.2999mm,        0,B
C46                 ,    32.7999mm,   -16.7445mm,       90,T
C49                 ,    36.6707mm,   -24.7024mm,       90,B
D13                 ,     7.5264mm,   -18.6855mm,      180,B
D14                 ,     7.5315mm,   -16.7870mm,      180,B
D1                  ,    10.8862mm,   -13.1195mm,        0,B
D12                 ,    28.0924mm,    -8.8900mm,       90,B
F1                  ,    16.2038mm,   -22.8648mm,        0,T
L1                  ,    44.0835mm,   -17.9357mm,      180,B
P1                  ,    11.6799mm,   -28.3590mm,        0,T
P2                  ,    27.8127mm,   -28.3589mm,        0,T
R43                 ,     8.4357mm,    -7.9523mm,       90,B
R44                 ,     9.5689mm,    -7.9692mm,       90,B
R23                 ,     1.0367mm,   -23.0859mm,       90,B
R49                 ,     2.2557mm,   -19.5219mm,      180,T
U1                  ,    19.3995mm,    -8.0119mm,        0,T
U6                  ,     3.0948mm,   -15.5719mm,        0,T
U8                  ,    39.9033mm,   -22.8172mm,        0,B
SW1                 ,    40.3520mm,   -15.1244mm,        0,T
C1                  ,    44.6402mm,   -15.1465mm,        0,B
C45                 ,     7.6282mm,    -0.1895mm,      180,B
Y2                  ,    26.2466mm,    -2.4324mm,       90,B
D11                 ,    34.0286mm,   -24.8491mm,       90,B
D8                  ,    19.8237mm,   -24.4915mm,        0,T
L6                  ,    35.9918mm,   -20.4978mm,       90,T
L2                  ,    19.8237mm,   -24.4094mm,      180,B
L3                  ,    33.9344mm,   -22.4794mm,      270,B
L4                  ,    32.5738mm,   -23.2980mm,        0,T
L5                  ,    19.4832mm,   -22.9703mm,        0,T
T1                  ,    11.6801mm,   -22.2302mm,        0,T
T2                  ,    27.7970mm,   -21.3942mm,        0,T
U4                  ,    17.0632mm,    -5.1226mm,       90,B
J2                  ,    41.5587mm,     0.2698mm,      270,T
C53                 ,     4.9302mm,   -18.4771mm,       90,T
C4                  ,    36.2392mm,   -22.5589mm,        0,B
C52                 ,    10.2499mm,    -1.9700mm,       90,B
C44                 ,     7.6620mm,    -1.6780mm,      180,B
C47                 ,    34.2039mm,   -16.8460mm,       90,T
C10                 ,    22.5950mm,     0.8222mm,      180,B
C11                 ,    20.4836mm,     1.6329mm,       90,B
C15                 ,    25.5758mm,    -6.6936mm,      180,B
C18                 ,    33.3611mm,   -14.1034mm,        0,T
C19                 ,    38.0678mm,   -12.4438mm,      180,B
C40                 ,    38.7581mm,    -6.2650mm,        0,B
C9                  ,    15.0875mm,   -13.0959mm,      180,B
TP7                 ,    36.8068mm,    -7.4970mm,        0,T
TP8                 ,    36.6144mm,    -5.1823mm,        0,T
TP9                 ,    36.6144mm,    -2.9421mm,        0,T
F2                  ,    31.1647mm,   -21.4252mm,      180,B
SW4                 ,    35.7558mm,    -3.5668mm,        0,B
C13                 ,    23.4563mm,    -9.7496mm,       90,B
C14                 ,    25.9935mm,    -9.3650mm,      180,B
R30                 ,    37.7022mm,    -0.8144mm,      180,B
R31                 ,    39.4472mm,    -3.2931mm,       90,B
R12                 ,     7.7740mm,    -4.6407mm,       90,B
B1                  ,    21.2376mm,   -17.0356mm,        0,B
D2                  ,    38.2016mm,   -32.1564mm,      180,T
J1                  ,    11.3297mm,     1.5453mm,      180,B
R15                 ,    18.6688mm,     1.1364mm,      180,B
R4                  ,    15.2876mm,   -15.3720mm,       90,B
R14                 ,    18.6688mm,     2.2158mm,        0,B
R45                 ,    23.3903mm,   -21.9080mm,      180,B
R51                 ,     4.2017mm,   -20.5594mm,      270,B
R17                 ,    33.5495mm,   -13.2167mm,      180,T
R18                 ,    38.1214mm,   -13.8664mm,        0,B
R13                 ,    25.7365mm,    -8.1314mm,      180,B
R52                 ,    32.2500mm,   -11.7500mm,       90,B
R16                 ,    25.3217mm,    -5.4346mm,        0,B
R26                 ,    34.3792mm,   -27.2492mm,      180,B
R37                 ,    26.0832mm,   -22.7443mm,       90,T
R39                 ,     5.7374mm,   -24.1836mm,      270,T
R21                 ,     4.5200mm,   -27.3679mm,      180,T
R33                 ,     6.6408mm,    -4.6575mm,      270,B
R41                 ,    10.3445mm,    -6.1514mm,      180,B
TP10                ,     1.2585mm,    -7.2637mm,        0,T
TP11                ,     1.3234mm,    -9.5479mm,        0,T
TP12                ,     1.2558mm,   -11.8484mm,        0,T
TP6                 ,     5.3848mm,    -2.6162mm,        0,T
